,code,label_high_20,label_low_20
2020-02-07,2020-02-07-1301,0.042509494498728234,-0.016603366873168053
2020-05-12,2020-05-12-1301,0.06320878176266921,-0.04167306702811961
2020-08-07,2020-08-07-1301,0.01607342914191126,-0.0645545438810073
2020-11-06,2020-11-06-1301,0.07355507666446551,-0.0205260658470844
2020-02-05,2020-02-05-1332,0.07408727232079335,-0.041457398135705356
2020-05-20,2020-05-20-1332,0.09431454321389315,-0.06133994260108524
2020-08-03,2020-08-03-1332,0.04424858479434904,-0.08640026373784615
2020-11-05,2020-11-05-1332,0.06773824431756233,-0.06915414948185557
2020-02-03,2020-02-03-1333,0.05568952044308971,-0.02612090263001713
2020-05-14,2020-05-14-1333,0.05925399482904853,-0.05645795758449819
2020-08-03,2020-08-03-1333,0.05071823859460165,-0.06742271692088939
2020-11-02,2020-11-02-1333,0.07223231175005657,-0.046570308063483876
2020-01-31,2020-01-31-1352,0.09719733774368244,-0.01597777462457519
2020-05-15,2020-05-15-1352,0.1432821703222478,-0.05808446132777205
2020-07-30,2020-07-30-1352,0.06953352008239182,-0.05469033890352778
2020-10-30,2020-10-30-1352,0.08558427148561466,-0.014250338414130918
2020-09-17,2020-09-17-1375,0.043038127000421235,-0.03473540946363522
2020-11-05,2020-11-05-1375,0.28881195521626224,-0.12062621519731194
2020-01-06,2020-01-06-1376,0.057050411728464395,-0.05813971558697249
2020-04-02,2020-04-02-1376,0.29445413847763846,-0.06593068109803776
2020-07-14,2020-07-14-1376,0.14088789560030796,-0.06227347792868749
2020-10-02,2020-10-02-1376,0.06728738964563893,-0.058619555480156335
2020-01-09,2020-01-09-1377,0.05519392922480845,-0.05093519911125731
2020-04-03,2020-04-03-1377,0.1192773164202153,-0.06277716360529376
2020-07-13,2020-07-13-1377,0.08031876953602601,-0.04357999233510068
2020-10-09,2020-10-09-1377,0.1085577282903953,-0.01787860720642986
2020-02-03,2020-02-03-1379,0.0481223043703035,-0.017512031744682743
2020-05-15,2020-05-15-1379,0.05333133032347159,-0.04186775042479211
2020-08-03,2020-08-03-1379,0.060890876944409096,-0.045339149448891745
2020-11-02,2020-11-02-1379,0.04350339459963151,-0.04717696451307221
2020-02-07,2020-02-07-1380,0.04546015912498671,-0.013801618570951996
2020-05-13,2020-05-13-1380,0.14818390091964592,-0.06503375213104703
2020-08-07,2020-08-07-1380,0.21027716166821053,-0.0899357125540819
2020-11-06,2020-11-06-1380,0.15120806707233786,-0.11230839128750889
2020-01-28,2020-01-28-1381,0.051494872471991304,-0.02595581512336943
2020-04-24,2020-04-24-1381,0.09540648554875122,-0.08064999960148948
2020-07-30,2020-07-30-1381,0.09250680956414405,-0.056819240630058374
2020-08-07,2020-08-07-1381,0.10988685639451641,-0.060350036865091175
2020-10-23,2020-10-23-1381,0.1006754777232163,-0.04805432028196952
2020-02-05,2020-02-05-1382,0.17163751482493306,-0.07910581696775348
2020-02-06,2020-02-06-1382,0.18382041574170985,-0.08966620881553175
2020-05-08,2020-05-08-1382,0.1664685811356617,-0.08628777852411723
2020-08-05,2020-08-05-1382,0.08434558752907166,-0.056917412716739724
2020-08-06,2020-08-06-1382,0.1014839405957258,-0.06352060010307152
2020-11-06,2020-11-06-1382,0.05704558100025196,-0.0722777640215693
2020-03-09,2020-03-09-1383,0.17876621380542754,-0.11167226785406012
2020-06-12,2020-06-12-1383,0.10692591650489737,-0.0681732817957745
2020-09-11,2020-09-11-1383,0.06894376007793343,-0.05172815980862985
2020-12-07,2020-12-07-1383,0.04437815990257169,-0.029300890764776936
2020-12-14,2020-12-14-1383,0.07833750261208705,-0.01684611879283815
2020-02-13,2020-02-13-1384,0.08547780069211311,-0.06955315651324835
2020-03-12,2020-03-12-1384,0.15830248221477808,-0.06266178167922325
2020-05-14,2020-05-14-1384,0.08075421604218312,-0.05667721623144123
2020-08-12,2020-08-12-1384,0.04363046513076578,-0.07552492427204108
2020-11-13,2020-11-13-1384,0.04497853418288022,-0.04547950876840656
2020-02-13,2020-02-13-1400,0.14167705528560012,-0.06013610404809424
2020-05-14,2020-05-14-1400,0.1802351437407297,-0.06827538778323398
2020-08-13,2020-08-13-1400,0.23316654898085282,-0.14002635904894312
2020-11-12,2020-11-12-1400,0.17810933139866325,-0.07498599472178341
2020-01-10,2020-01-10-1401,0.1118333754962001,-0.09406179682144547
2020-04-10,2020-04-10-1401,0.6215649757408463,-0.1780147968822705
2020-07-14,2020-07-14-1401,0.11003937843849287,-0.06633904913049296
2020-07-15,2020-07-15-1401,0.11116313241162173,-0.0683956775612828
2020-10-14,2020-10-14-1401,0.09074979114918344,-0.07693818147712586
2020-01-14,2020-01-14-1407,0.15775451930743434,-0.06043522416823945
2020-03-27,2020-03-27-1407,0.425947697884812,-0.03108853479051839
2020-04-13,2020-04-13-1407,0.15844383882465501,-0.08088743492898334
2020-07-13,2020-07-13-1407,0.13288675549529683,-0.09393473686206018
2020-10-06,2020-10-06-1407,0.1205371195455322,-0.09077408789830436
2020-10-15,2020-10-15-1407,0.11983078908686207,-0.10135683810625067
